latitude,longitude,food,sports,healthcare,interconnectivity,education
1.378805,103.7678849,0.109028961,0.166666667,0.5,0.5,0.416666667
1.2894146,103.8214223,0.180919932,0.090909091,0.5,0.5,0.291666667
1.354793,103.890305,0.134923339,0.484848485,0.5,0.5,0.666666667
1.2811153,103.824394,0.279045997,0.121212121,0.5,0.5,0.25
1.327917,103.8532832,0.205110733,0.121212121,0.5,0.5,0.625
1.3285514,103.8446805,0.175468484,0.121212121,0.5,0.5,0.625
1.3366371,103.7376509,0.182282794,0.015151515,0.5,0.5,0.541666667
1.3259105,103.9098223,0.100170358,0.196969697,0.5,0.5,0.5
1.3401102,103.8490935,0.226575809,0.227272727,0.5,0.5,0.833333333
1.3678583,103.9588599,0.05076661,0.136363636,0.5,0.5,0.375
1.3343451,103.8692235,0.052810903,0.257575758,0.5,0.5,0.708333333
1.382713,103.900848,0.056558773,0.075757576,0.5,0.5,0.625
1.3705717,103.8710439,0.102555366,0.727272727,0.5,0.5,0.666666667
1.2744804,103.8348949,0.151277683,0.151515152,0.5,0.5,0.208333333
1.3472491,103.9465762,0.212265758,0.196969697,0.5,0.5,0.708333333
1.3770603,103.752948,0.059284497,0.136363636,0.5,0.5,0.625
1.3198388,103.8608698,0.194207836,0.166666667,0.5,0.5,0.458333333
1.3209644,103.8533738,0.150936968,0.181818182,0.5,0.5,0.541666667
1.4364506,103.7815558,0.166609881,0.060606061,0.5,0.5,0.375
1.3717844,103.8390261,0.14923339,0.696969697,0.5,0.5,0.458333333
1.4503684,103.8321533,0.010221465,0.090909091,0.5,0.5,0.25
1.2804498,103.8124403,0.164565588,0.121212121,0.5,0.5,0.291666667
1.396871,103.905393,0.075298126,0.060606061,0.5,0.5,0.375
1.3716324,103.8385883,0.134241908,0.712121212,0.5,0.5,0.458333333
1.4501564,103.8315654,0.012606474,0.090909091,0.5,0.5,0.25
1.280525,103.8120779,0.164906303,0.106060606,0.5,0.5,0.291666667
1.396493,103.905416,0.07802385,0.060606061,0.5,0.5,0.375
1.4497221,103.831593,0.013287905,0.090909091,0.5,0.5,0.25
1.4498287,103.8326605,0.012265758,0.090909091,0.5,0.5,0.25
1.3195167,103.8827712,0.262350937,0.181818182,0.5,0.5,0.541666667
1.3723838,103.8377028,0.14548552,0.742424242,0.5,0.5,0.458333333
1.3291336,103.909188,0.10528109,0.151515152,0.5,0.5,0.375
1.3336952,103.936605,0.157410562,0.287878788,0.5,0.5,0.708333333
1.3458125,103.8473951,0.190800681,0.333333333,0.5,0.5,0.791666667
1.3485949,103.7471578,0.108688245,0.090909091,0.5,0.5,0.5
1.2725678,103.8248421,0.09471891,0.075757576,0.5,0.5,0.25
1.322682,103.7698766,0.042930153,0.363636364,0.5,0.5,0.5
1.3782744,103.7677264,0.111754685,0.166666667,0.5,0.5,0.416666667
1.2901396,103.8225544,0.176149915,0.090909091,0.5,0.5,0.291666667
1.2806741,103.8248474,0.235434412,0.121212121,0.5,0.5,0.25
1.3286387,103.8540088,0.202385009,0.121212121,0.5,0.5,0.708333333
1.3372922,103.7383752,0.205451448,0.015151515,0.5,0.5,0.583333333
1.3256163,103.9100942,0.09471891,0.212121212,0.5,0.5,0.5
1.3404101,103.8490957,0.236115843,0.227272727,0.5,0.5,0.833333333
1.368527,103.9572281,0.096422487,0.151515152,0.5,0.5,0.375
1.3344885,103.8687748,0.055536627,0.257575758,0.5,0.5,0.708333333
1.3821683,103.9007038,0.056218058,0.090909091,0.5,0.5,0.625
1.3702143,103.8701338,0.120272572,0.727272727,0.5,0.5,0.625
1.3411909,103.9505387,0.106984668,0.287878788,0.5,0.5,0.75
1.2738977,103.8345326,0.106984668,0.151515152,0.5,0.5,0.208333333
1.3480158,103.9468935,0.213287905,0.181818182,0.5,0.5,0.708333333
1.3776457,103.753129,0.058603066,0.136363636,0.5,0.5,0.625
1.3205548,103.8610741,0.208517888,0.151515152,0.5,0.5,0.458333333
1.436891,103.7815558,0.171379898,0.060606061,0.5,0.5,0.375
1.3345575,103.8707766,0.069846678,0.287878788,0.5,0.5,0.625
1.2810402,103.8114432,0.231345826,0.106060606,0.5,0.5,0.291666667
1.3971031,103.9058262,0.075979557,0.060606061,0.5,0.5,0.375
1.3345575,103.8707766,0.069846678,0.287878788,0.5,0.5,0.625
1.397269,103.906206,0.09165247,0.060606061,0.5,0.5,0.375
1.397623,103.905595,0.07802385,0.060606061,0.5,0.5,0.375
1.397401,103.905293,0.075979557,0.060606061,0.5,0.5,0.375
